followers,following,followers_ratio,mutual_connections,account_age,profile_complete,bio,comments,label
15805,799,19.780976220275345,278,0,58,Tech enthusiast,Awesome!,1
870,4571,0.1903303434697003,29,12,61,AI researcher,Nice post!,1
76830,3950,19.450632911392404,170,1,85,Just another human,Love this!,0
54896,605,90.73719008264463,451,3,86,AI researcher,Very interesting,0
6275,2980,2.1057046979865772,20,12,58,Just another human,Love this!,1
82396,4917,16.757372381533454,298,10,88,Traveler and food lover,Very interesting,0
37204,598,62.214046822742475,200,1,95,Traveler and food lover,Nice post!,1
87508,1533,57.08284409654273,134,3,71,AI researcher,Awesome!,1
44141,514,85.87743190661479,271,3,66,Just another human,Awesome!,0
60273,1878,32.094249201277954,22,3,82,Traveler and food lover,Great content!,1
16033,3973,4.035489554492827,441,0,96,Tech enthusiast,Love this!,1
41100,3844,10.691987513007284,86,8,73,Lover of nature,Nice post!,1
67231,1700,39.54764705882353,30,9,64,Traveler and food lover,Great content!,1
64830,1030,62.94174757281554,120,10,78,Traveler and food lover,Nice post!,1
779,4596,0.1694952132288947,68,6,81,Tech enthusiast,Nice post!,1
59745,717,83.32635983263599,133,1,82,Traveler and food lover,Great content!,1
62965,4087,15.406165891852215,370,2,78,Traveler and food lover,Nice post!,0
64935,666,97.5,448,12,64,Traveler and food lover,Great content!,1
67979,2209,30.773653236758715,314,7,76,Just another human,Love this!,1
5321,1080,4.926851851851852,495,6,83,Traveler and food lover,Great content!,0
83114,228,364.53508771929825,411,3,53,Lover of nature,Love this!,0
53717,149,360.51677852348996,145,3,98,Just another human,Awesome!,1
85315,1070,79.73364485981308,471,8,97,Just another human,Great content!,1
28703,4728,6.07085448392555,332,14,67,AI researcher,Awesome!,1
71942,1364,52.74340175953079,480,4,70,Traveler and food lover,Great content!,0
93026,4509,20.631182080283878,393,13,97,Lover of nature,Nice post!,1
25668,1756,14.617312072892938,262,12,57,Lover of nature,Awesome!,0
84488,520,162.47692307692307,292,10,55,AI researcher,Very interesting,0
18441,3545,5.20197461212976,479,4,69,Lover of nature,Very interesting,0
2757,2323,1.186827378390013,428,14,51,Just another human,Very interesting,0
59160,1103,53.63553943789665,85,6,94,Tech enthusiast,Awesome!,1
65735,598,109.9247491638796,15,0,71,Just another human,Love this!,0
84664,3274,25.859499083689677,215,2,70,Tech enthusiast,Great content!,0
35783,4050,8.835308641975308,115,1,55,Lover of nature,Nice post!,0
67445,2606,25.880660015349193,117,10,81,Traveler and food lover,Nice post!,1
56896,2189,25.99177706715395,269,9,55,Tech enthusiast,Awesome!,1
66813,4826,13.84438458350601,394,5,62,Just another human,Very interesting,1
31561,589,53.584040747028865,466,10,50,Just another human,Nice post!,1
11404,4473,2.5495193382517325,342,11,71,Just another human,Nice post!,1
69102,1408,49.078125,161,5,73,Just another human,Love this!,1
3900,4847,0.8046214153084382,187,9,90,AI researcher,Nice post!,0
41616,4723,8.811348719034513,103,0,79,Lover of nature,Nice post!,1
96286,3391,28.394573872014156,140,13,71,Traveler and food lover,Great content!,1
80048,3441,23.263004940424295,166,13,93,AI researcher,Nice post!,0
87323,1630,53.57239263803681,299,5,61,Lover of nature,Great content!,1
10637,995,10.690452261306532,27,9,75,Tech enthusiast,Very interesting,1
8802,4799,1.8341321108564284,423,1,53,AI researcher,Love this!,1
73979,2060,35.912135922330094,271,10,68,AI researcher,Nice post!,1
43011,4573,9.40542313579707,49,3,65,AI researcher,Love this!,1
76562,2987,25.631737529293606,370,5,61,AI researcher,Love this!,1
23907,401,59.61845386533666,155,2,82,Tech enthusiast,Love this!,0
68158,2856,23.86484593837535,323,2,70,Just another human,Awesome!,1
23493,2225,10.558651685393258,347,11,85,AI researcher,Great content!,1
48565,3413,14.229416935247583,120,2,58,Lover of nature,Love this!,0
17169,57,301.2105263157895,443,3,88,Just another human,Very interesting,1
80087,1876,42.690298507462686,139,8,91,Tech enthusiast,Nice post!,1
35930,4544,7.907130281690141,15,3,94,Traveler and food lover,Love this!,1
92077,4299,21.41823679925564,308,12,57,Tech enthusiast,Love this!,1
67131,3769,17.81135579729371,437,3,69,Traveler and food lover,Nice post!,1
69489,4834,14.37505171700455,48,3,59,Lover of nature,Very interesting,1
89485,4298,20.820148906468123,163,6,81,Traveler and food lover,Love this!,1
19467,1354,14.377400295420975,61,4,77,AI researcher,Love this!,0
66567,2411,27.609705516383244,339,11,59,Just another human,Very interesting,1
